,S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
324,325,2022/07/04,Vanced microG,23,2,No,Yes,com.mgoogle.android.gms
325,326,2022/07/04,Finder,24,4,Yes,No,com.samsung.android.app.galaxyfinder
326,327,2022/07/02,Finder,52,11,Yes,No,com.samsung.android.app.galaxyfinder
327,328,2022/07/03,Finder,6,2,Yes,No,com.samsung.android.app.galaxyfinder
328,329,2022/07/04,YouTube Music,28,2,Yes,No,com.vanced.android.apps.youtube.music
329,330,2022/07/02,Find My Mobile,42,4,No,Yes,com.samsung.android.fmm
330,331,2022/07/02,OneDrive,0,1,Yes,No,com.microsoft.skydrive
331,332,2022/07/03,Android System,7,2,No,Yes,android
332,333,2022/07/02,Android System,19,5,No,Yes,android
333,334,2022/07/02,Samsung account,252,12,No,Yes,com.osp.app.signin
334,335,2022/07/04,Android System,1,2,No,Yes,android
335,336,2022/07/04,Samsung account,3,1,No,Yes,com.osp.app.signin
336,337,2022/07/04,Samsung Notes,158,1,Yes,No,com.samsung.android.app.notes
337,338,2022/07/03,Samsung account,3,1,No,Yes,com.osp.app.signin
338,339,2022/07/02,Samsung Notes,48,6,Yes,No,com.samsung.android.app.notes
339,340,2022/07/03,NotiStar (Uninstalled),20,3,No,Yes,com.samsung.systemui.notilus
340,341,2022/07/04,Samsung capture,128,4,No,Yes,com.samsung.android.app.smartcapture
341,342,2022/07/02,Smart View,43,2,No,Yes,com.samsung.android.smartmirroring
342,343,2022/07/03,Samsung capture,9,1,No,Yes,com.samsung.android.app.smartcapture
343,344,2022/07/02,Samsung capture,54,3,No,Yes,com.samsung.android.app.smartcapture
344,345,2022/07/03,Contacts,49,3,Yes,No,com.samsung.android.app.contacts
345,346,2022/07/04,Contacts,13,2,Yes,No,com.samsung.android.app.contacts
346,347,2022/07/03,Pikashow,1294,3,Yes,No,com.offshore.pikachu
347,348,2022/07/02,Contacts,24,3,Yes,No,com.samsung.android.app.contacts
348,349,2022/07/04,Pikashow,316,9,Yes,No,com.offshore.pikachu
349,350,2022/07/02,Data restore tool,32,4,No,Yes,com.google.android.apps.restore
350,351,2022/07/04,Phone,84,7,Yes,No,com.samsung.android.dialer
351,352,2022/07/02,Tags,5,2,No,Yes,com.samsung.android.service.tagservice
352,353,2022/07/02,YouTube Vanced,21,1,Yes,No,com.vanced.android.youtube
353,354,2022/07/03,Samsung DeX,4,1,No,Yes,com.sec.android.desktopmode.uiservice
354,355,2022/07/02,Samsung DeX,141,7,No,Yes,com.sec.android.desktopmode.uiservice
355,356,2022/07/02,Secure Folder,32,4,Yes,No,com.samsung.knox.securefolder
356,357,2022/07/03,Phone,3,1,Yes,No,com.samsung.android.dialer
357,358,2022/07/02,Phone,5,3,Yes,No,com.samsung.android.dialer
358,359,2022/07/02,Pikashow,2792,17,Yes,No,com.offshore.pikachu
359,360,2022/07/04,YouTube Vanced,8459,18,Yes,No,com.vanced.android.youtube
360,361,2022/07/03,YouTube Vanced,334,3,Yes,No,com.vanced.android.youtube
361,362,2022/07/03,OneDrive,93,3,Yes,No,com.microsoft.skydrive
362,363,2022/07/04,System UI,5,1,No,Yes,com.android.systemui
363,364,2022/07/02,System UI,98,5,No,Yes,com.android.systemui
364,365,2022/07/04,Digital Wellbeing,26,1,No,Yes,com.samsung.android.forest
365,366,2022/07/02,Galaxy Themes,104,7,No,Yes,com.samsung.android.themestore
366,367,2022/07/03,Galaxy Themes,39,1,No,Yes,com.samsung.android.themestore
367,368,2022/07/02,Camera,21,4,Yes,No,com.sec.android.app.camera
368,369,2022/07/03,Digital Wellbeing,117,3,No,Yes,com.samsung.android.forest
369,370,2022/07/02,Digital Wellbeing,65,4,No,Yes,com.samsung.android.forest
370,371,2022/07/03,Camera,18,4,Yes,No,com.sec.android.app.camera
371,372,2022/07/04,Camera,246,9,Yes,No,com.sec.android.app.camera
372,373,2022/07/02,Link to Windows,3,1,Yes,No,com.microsoft.appmanager
373,374,2022/07/03,Accessibility,182,3,Yes,No,com.samsung.accessibility
374,375,2022/07/02,Accessibility,29,2,Yes,No,com.samsung.accessibility
375,376,2022/07/03,Link to Windows,4,2,Yes,No,com.microsoft.appmanager
376,377,2022/07/02,Drive,40,4,Yes,No,com.google.android.apps.docs
377,378,2022/07/03,Drive,34,2,Yes,No,com.google.android.apps.docs
378,379,2022/07/04,The Hindu ePaper,114,2,Yes,No,com.epaper.thehindu.android
379,380,2022/07/03,Galaxy Store,67,3,Yes,No,com.sec.android.app.samsungapps
380,381,2022/07/04,Paytm,0,1,Yes,No,net.one97.paytm
381,382,2022/07/04,Galaxy Store,11,1,Yes,No,com.sec.android.app.samsungapps
382,383,2022/07/02,Samsung Cloud,20,3,No,Yes,com.samsung.android.scloud
383,384,2022/07/04,Samsung Free,122,5,No,Yes,com.samsung.android.app.spage
384,385,2022/07/03,Chrome,4065,26,Yes,No,com.android.chrome
385,386,2022/07/04,Chrome,2349,24,Yes,No,com.android.chrome
386,387,2022/07/02,Samsung Free,0,1,No,Yes,com.samsung.android.app.spage
387,388,2022/07/02,Gallery,54,6,Yes,No,com.sec.android.gallery3d
388,389,2022/07/03,Gallery,41,3,Yes,No,com.sec.android.gallery3d
389,390,2022/07/04,Gallery,65,5,Yes,No,com.sec.android.gallery3d
390,391,2022/07/02,Galaxy Store,87,7,Yes,No,com.sec.android.app.samsungapps
391,392,2022/07/03,Quick Share,1,1,No,Yes,com.samsung.android.app.sharelive
392,393,2022/07/04,Package installer,6,4,No,Yes,com.google.android.packageinstaller
393,394,2022/07/03,Package installer,21,7,No,Yes,com.google.android.packageinstaller
394,395,2022/07/02,Package installer,69,18,No,Yes,com.google.android.packageinstaller
395,396,2022/07/02,SoundAlive,11,1,No,Yes,com.sec.android.app.soundalive
396,397,2022/07/03,Wallpaper and style,33,2,No,Yes,com.samsung.android.app.dressroom
397,398,2022/07/02,Wallpaper and style,151,9,No,Yes,com.samsung.android.app.dressroom
398,399,2022/07/03,Google,4,8,Yes,No,com.google.android.googlequicksearchbox
399,400,2022/07/04,Google,74,8,Yes,No,com.google.android.googlequicksearchbox
400,401,2022/07/02,Google,36,4,Yes,No,com.google.android.googlequicksearchbox
401,402,2022/07/03,AR Zone,8,3,Yes,No,com.samsung.android.arzone
402,403,2022/07/02,Chrome,782,18,Yes,No,com.android.chrome
403,404,2022/07/02,Truecaller,57,10,Yes,No,com.truecaller
404,405,2022/07/03,Dual Messenger,9,1,No,Yes,com.samsung.android.da.daagent
405,406,2022/07/04,AR Zone,2,1,Yes,No,com.samsung.android.arzone
406,407,2022/07/04,BusinessLine,42,4,Yes,No,com.mobstac.thehindubusinessline
407,408,2022/07/05,Photos,776,2,Yes,No,com.google.android.apps.photos
408,409,2022/07/05,Galaxy Store,89,2,Yes,No,com.sec.android.app.samsungapps
409,410,2022/07/05,Settings,421,27,Yes,No,com.android.settings
410,411,2022/07/05,SuccessClap,66,2,Yes,No,com.successclap
411,412,2022/07/05,Truecaller,23,4,Yes,No,com.truecaller
412,413,2022/07/05,One UI Home,1091,300,No,Yes,com.sec.android.app.launcher
413,414,2022/07/05,YourHour,85,2,Yes,No,com.mindefy.phoneaddiction.mobilepe
414,415,2022/07/05,Chrome,5265,67,Yes,No,com.android.chrome
415,416,2022/07/05,Gmail,661,16,Yes,No,com.google.android.gm
416,417,2022/07/05,Photo Screensavers,21,4,No,Yes,com.android.dreams.phototable
417,418,2022/07/05,Pikashow,93,1,Yes,No,com.offshore.pikachu
418,419,2022/07/05,Google Play services,37,15,No,Yes,com.google.android.gms
419,420,2022/07/05,Twitter,1545,10,Yes,No,com.twitter.android
420,421,2022/07/05,Phone,148,15,Yes,No,com.samsung.android.dialer
421,422,2022/07/05,Wallpaper and style,58,5,No,Yes,com.samsung.android.app.dressroom
422,423,2022/07/05,Clock,62,2,Yes,No,com.sec.android.app.clockpackage
423,424,2022/07/05,Moovit (Uninstalled),529,6,Yes,No,com.tranzmate
424,425,2022/07/05,Google Play Store,203,7,Yes,No,com.android.vending
425,426,2022/07/05,WhatsApp,4952,76,Yes,No,com.whatsapp
426,427,2022/07/05,Settings Suggestions,23,4,No,Yes,com.android.settings.intelligence
427,428,2022/07/05,YouTube Vanced,8607,20,Yes,No,com.vanced.android.youtube
428,429,2022/07/05,Docs,229,3,Yes,No,com.google.android.apps.docs.editors.docs
429,430,2022/07/05,WAMR,18,4,Yes,No,com.drilens.wamr
430,431,2022/07/05,Call settings,20,1,No,Yes,com.samsung.android.app.telephonyui
431,432,2022/07/05,Package installer,2,1,No,Yes,com.google.android.packageinstaller
432,433,2022/07/05,Digital Wellbeing,8,2,No,Yes,com.samsung.android.forest
433,434,2022/07/05,Telegram,1555,39,Yes,No,org.telegram.messenger
434,435,2022/07/05,Call,6596,22,Yes,No,com.samsung.android.incallui
435,436,2022/07/05,Google,257,2,Yes,No,com.google.android.googlequicksearchbox
436,437,2022/07/05,PrepLadder,8996,27,Yes,No,com.prepladder.learningapp
437,438,2022/07/05,Gboard,0,2,Yes,No,com.google.android.inputmethod.latin
438,439,2022/07/05,Xodo Docs,773,20,Yes,No,com.xodo.pdf.reader
439,440,2022/07/05,StepSetGo,44,4,Yes,No,com.pepkit.ssg
440,441,2022/07/05,Wallpaper services,23,6,No,Yes,com.samsung.android.dynamiclock
441,442,2022/07/05,Finder,39,8,Yes,No,com.samsung.android.app.galaxyfinder
442,443,2022/07/05,BRTS Ahmedabad (Uninstalled),666,27,Yes,No,com.enticearc.brtsahmedabad
443,444,2022/07/05,Calculator,78,6,Yes,No,com.sec.android.app.popupcalculator
444,445,2022/07/05,Permission controller,21,12,No,Yes,com.google.android.permissioncontroller
445,446,2022/07/05,Accessibility,15,1,Yes,No,com.samsung.accessibility
446,447,2022/07/05,Maps,1563,28,Yes,No,com.google.android.apps.maps
447,448,2022/07/05,freeCode Camp,149,9,Yes,No,org.freecodecamp
448,449,2022/07/06,Photos,9,3,Yes,No,com.google.android.apps.photos
449,450,2022/07/06,Android System,23,5,No,Yes,android
450,451,2022/07/06,Messages,186,4,Yes,No,com.samsung.android.messaging
451,452,2022/07/06,Hirect (Uninstalled),317,2,Yes,No,in.hirect
452,453,2022/07/06,Paytm,436,6,Yes,No,net.one97.paytm
453,454,2022/07/06,One UI Home,1480,331,No,Yes,com.sec.android.app.launcher
454,455,2022/07/06,Settings,28,11,Yes,No,com.android.settings
455,456,2022/07/06,Truecaller,21,3,Yes,No,com.truecaller
456,457,2022/07/06,MTP application,2,1,No,Yes,com.samsung.android.mtp
457,458,2022/07/06,Gmail,386,13,Yes,No,com.google.android.gm
458,459,2022/07/06,Chrome,8317,94,Yes,No,com.android.chrome
459,460,2022/07/06,Cricbuzz,1054,17,Yes,No,com.cricbuzz.android
460,461,2022/07/06,Keep notes,16,1,Yes,No,com.google.android.keep
461,462,2022/07/06,Finder,82,23,Yes,No,com.samsung.android.app.galaxyfinder
462,463,2022/07/06,Device care,1,1,Yes,No,com.samsung.android.lool
463,464,2022/07/06,Pikashow,235,11,Yes,No,com.offshore.pikachu
464,465,2022/07/06,Google Play services,10,6,No,Yes,com.google.android.gms
465,466,2022/07/06,Twitter,7377,62,Yes,No,com.twitter.android
466,467,2022/07/06,Contacts,24,2,Yes,No,com.samsung.android.app.contacts
467,468,2022/07/06,Phone,112,12,Yes,No,com.samsung.android.dialer
468,469,2022/07/06,Google Play Store,106,10,Yes,No,com.android.vending
469,470,2022/07/06,Clock,69,6,Yes,No,com.sec.android.app.clockpackage
470,471,2022/07/06,WhatsApp,2025,52,Yes,No,com.whatsapp
471,472,2022/07/06,YouTube Vanced,7888,26,Yes,No,com.vanced.android.youtube
472,473,2022/07/06,Naukri.com,69,1,Yes,No,naukriApp.appModules.login
473,474,2022/07/06,Settings Suggestions,41,6,No,Yes,com.android.settings.intelligence
474,475,2022/07/06,Gallery,36,2,Yes,No,com.sec.android.gallery3d
475,476,2022/07/06,Call,5102,21,Yes,No,com.samsung.android.incallui
476,477,2022/07/06,Package installer,11,4,No,Yes,com.google.android.packageinstaller
477,478,2022/07/06,Software update,8,1,No,Yes,com.wssyncmldm
478,479,2022/07/06,Telegram,1313,50,Yes,No,org.telegram.messenger
479,480,2022/07/06,Google,13,4,Yes,No,com.google.android.googlequicksearchbox
480,481,2022/07/06,Gboard,100,4,Yes,No,com.google.android.inputmethod.latin
481,482,2022/07/06,PrepLadder,148,6,Yes,No,com.prepladder.learningapp
482,483,2022/07/06,Xodo Docs,1674,29,Yes,No,com.xodo.pdf.reader
483,484,2022/07/06,Galaxy Themes,210,5,No,Yes,com.samsung.android.themestore
484,485,2022/07/06,Video Player,45,1,No,Yes,com.samsung.android.video
485,486,2022/07/06,1DM,44,5,Yes,No,idm.internet.download.manager
486,487,2022/07/06,My Files,131,5,Yes,No,com.sec.android.app.myfiles
487,488,2022/07/06,Relevel,1273,15,Yes,No,com.relevel
488,489,2022/07/06,Permission controller,12,6,No,Yes,com.google.android.permissioncontroller
489,490,2022/07/06,IRCTC Rail Connect,596,17,Yes,No,cris.org.in.prs.ima
490,491,2022/07/06,Calculator,8,1,Yes,No,com.sec.android.app.popupcalculator
491,492,2022/07/06,Drive,54,4,Yes,No,com.google.android.apps.docs
492,493,2022/07/06,freeCode Camp,9,2,Yes,No,org.freecodecamp
493,494,2022/07/06,Maps,54,1,Yes,No,com.google.android.apps.maps
494,495,2022/07/07,Android System,0,2,No,Yes,android
495,496,2022/07/07,Messages,6,1,Yes,No,com.samsung.android.messaging
496,497,2022/07/07,One UI Home,1054,160,No,Yes,com.sec.android.app.launcher
497,498,2022/07/07,Cricbuzz,1892,22,Yes,No,com.cricbuzz.android
498,499,2022/07/07,Settings,88,5,Yes,No,com.android.settings
499,500,2022/07/07,Gmail,44,3,Yes,No,com.google.android.gm
500,501,2022/07/07,Notion,4,2,Yes,No,notion.id
501,502,2022/07/07,AccuBattery,234,4,Yes,No,com.digibites.accubattery
502,503,2022/07/07,Chrome,4056,31,Yes,No,com.android.chrome
503,504,2022/07/07,Finder,7,2,Yes,No,com.samsung.android.app.galaxyfinder
504,505,2022/07/07,Gallery,7,1,Yes,No,com.sec.android.gallery3d
505,506,2022/07/07,Device care,4,1,Yes,No,com.samsung.android.lool
506,507,2022/07/07,Wallpaper and style,8,1,No,Yes,com.samsung.android.app.dressroom
507,508,2022/07/07,Twitter,4449,30,Yes,No,com.twitter.android
508,509,2022/07/07,Google Play services,4,2,No,Yes,com.google.android.gms
509,510,2022/07/07,Phone,68,8,Yes,No,com.samsung.android.dialer
510,511,2022/07/07,Pikashow,2472,14,Yes,No,com.offshore.pikachu
511,512,2022/07/07,Google Play Store,185,5,Yes,No,com.android.vending
512,513,2022/07/07,WhatsApp,725,17,Yes,No,com.whatsapp
513,514,2022/07/07,Clock,18,2,Yes,No,com.sec.android.app.clockpackage
514,515,2022/07/07,Package installer,3,3,No,Yes,com.google.android.packageinstaller
515,516,2022/07/07,Call,1822,18,Yes,No,com.samsung.android.incallui
516,517,2022/07/07,Camera,14,2,Yes,No,com.sec.android.app.camera
517,518,2022/07/07,YouTube Vanced,51,1,Yes,No,com.vanced.android.youtube
518,519,2022/07/07,Telegram,137,18,Yes,No,org.telegram.messenger
519,520,2022/07/07,Xodo Docs,624,5,Yes,No,com.xodo.pdf.reader
520,521,2022/07/07,PrepLadder,7115,18,Yes,No,com.prepladder.learningapp
521,522,2022/07/07,Galaxy Themes,9,1,No,Yes,com.samsung.android.themestore
522,523,2022/07/07,Google,35,2,Yes,No,com.google.android.googlequicksearchbox
523,524,2022/07/07,IRCTC Rail Connect,0,1,Yes,No,cris.org.in.prs.ima
524,525,2022/07/07,My Files,34,2,Yes,No,com.sec.android.app.myfiles
525,526,2022/07/07,Relevel,89,2,Yes,No,com.relevel
526,527,2022/07/07,freeCode Camp,29,1,Yes,No,org.freecodecamp
527,528,2022/07/08,One UI Home,373,99,No,Yes,com.sec.android.app.launcher
528,529,2022/07/08,Cricbuzz,479,13,Yes,No,com.cricbuzz.android
529,530,2022/07/08,Truecaller,4,2,Yes,No,com.truecaller
530,531,2022/07/08,Android System,1,2,No,Yes,android
531,532,2022/07/08,Messages,2,1,Yes,No,com.samsung.android.messaging
532,533,2022/07/08,Paytm,294,3,Yes,No,net.one97.paytm
533,534,2022/07/08,Settings,28,3,Yes,No,com.android.settings
534,535,2022/07/08,Photos,36,1,Yes,No,com.google.android.apps.photos
535,536,2022/07/08,Google Play Store,28,3,Yes,No,com.android.vending
536,537,2022/07/08,Finder,13,4,Yes,No,com.samsung.android.app.galaxyfinder
537,538,2022/07/08,Chrome,4320,32,Yes,No,com.android.chrome
538,539,2022/07/08,Gmail,70,3,Yes,No,com.google.android.gm
539,540,2022/07/08,Phone,1854,9,Yes,No,com.samsung.android.dialer
540,541,2022/07/08,Pikashow,5159,12,Yes,No,com.offshore.pikachu
541,542,2022/07/08,Twitter,3663,24,Yes,No,com.twitter.android
542,543,2022/07/08,WhatsApp,1560,15,Yes,No,com.whatsapp
543,544,2022/07/08,Naukri.com,207,1,Yes,No,naukriApp.appModules.login
544,545,2022/07/08,Clock,12,2,Yes,No,com.sec.android.app.clockpackage
545,546,2022/07/08,YouTube Vanced,10480,23,Yes,No,com.vanced.android.youtube
546,547,2022/07/08,Call,6887,13,Yes,No,com.samsung.android.incallui
547,548,2022/07/08,Telegram,146,8,Yes,No,org.telegram.messenger
548,549,2022/07/08,Permission controller,2,1,No,Yes,com.google.android.permissioncontroller
549,550,2022/07/08,Xodo Docs,145,4,Yes,No,com.xodo.pdf.reader
550,551,2022/07/08,Package installer,3,1,No,Yes,com.google.android.packageinstaller
551,552,2022/07/08,Google,38,2,Yes,No,com.google.android.googlequicksearchbox
552,553,2022/07/08,IRCTC Rail Connect,203,1,Yes,No,cris.org.in.prs.ima
553,554,2022/07/08,The Hindu ePaper,142,2,Yes,No,com.epaper.thehindu.android
554,555,2022/07/08,Maps,48,1,Yes,No,com.google.android.apps.maps
555,556,2022/07/08,WAMR,12,3,Yes,No,com.drilens.wamr
556,557,2022/07/08,Where is my Train,136,5,Yes,No,com.whereismytrain.android
557,558,2022/07/09,Truecaller,86,3,Yes,No,com.truecaller
558,559,2022/07/09,One UI Home,1124,227,No,Yes,com.sec.android.app.launcher
559,560,2022/07/09,Cricbuzz,1038,19,Yes,No,com.cricbuzz.android
560,561,2022/07/09,Messages,3,2,Yes,No,com.samsung.android.messaging
561,562,2022/07/09,Paytm,338,7,Yes,No,net.one97.paytm
562,563,2022/07/09,Galaxy Store,61,7,Yes,No,com.sec.android.app.samsungapps
563,564,2022/07/09,Google Play Store,54,2,Yes,No,com.android.vending
564,565,2022/07/09,Settings,158,30,Yes,No,com.android.settings
565,566,2022/07/09,Keep notes,2,2,Yes,No,com.google.android.keep
566,567,2022/07/09,Key Chain,0,1,No,Yes,com.android.keychain
567,568,2022/07/09,AccuBattery,96,1,Yes,No,com.digibites.accubattery
568,569,2022/07/09,Finder,39,11,Yes,No,com.samsung.android.app.galaxyfinder
569,570,2022/07/09,Chrome,2059,48,Yes,No,com.android.chrome
570,571,2022/07/09,Gmail,112,4,Yes,No,com.google.android.gm
571,572,2022/07/09,Phone,45,5,Yes,No,com.samsung.android.dialer
572,573,2022/07/09,SecSoundPicker,71,4,No,Yes,com.samsung.android.secsoundpicker
573,574,2022/07/09,Wallpaper and style,1,1,No,Yes,com.samsung.android.app.dressroom
574,575,2022/07/09,Walli 4K,82,2,Yes,No,com.shanga.walli
575,576,2022/07/09,Gallery,18,1,Yes,No,com.sec.android.gallery3d
576,577,2022/07/09,Pikashow,2581,21,Yes,No,com.offshore.pikachu
577,578,2022/07/09,Twitter,3838,22,Yes,No,com.twitter.android
578,579,2022/07/09,WhatsApp,3991,54,Yes,No,com.whatsapp
579,580,2022/07/09,Settings Suggestions,13,3,No,Yes,com.android.settings.intelligence
580,581,2022/07/09,Clock,396,6,Yes,No,com.sec.android.app.clockpackage
581,582,2022/07/09,Galaxy Themes,34,1,No,Yes,com.samsung.android.themestore
582,583,2022/07/09,Drive,310,1,Yes,No,com.google.android.apps.docs
583,584,2022/07/09,YouTube Vanced,7683,18,Yes,No,com.vanced.android.youtube
584,585,2022/07/09,Call,1257,16,Yes,No,com.samsung.android.incallui
585,586,2022/07/09,AR Emoji,27,5,No,Yes,com.samsung.android.aremoji
586,587,2022/07/09,Gboard,0,2,Yes,No,com.google.android.inputmethod.latin
587,588,2022/07/09,Xodo Docs,319,6,Yes,No,com.xodo.pdf.reader
588,589,2022/07/09,Permission controller,13,3,No,Yes,com.google.android.permissioncontroller
589,590,2022/07/09,Google,33,2,Yes,No,com.google.android.googlequicksearchbox
590,591,2022/07/09,Device care,41,8,Yes,No,com.samsung.android.lool
591,592,2022/07/09,Package installer,4,3,No,Yes,com.google.android.packageinstaller
592,593,2022/07/09,AlwaysOnDisplay,144,9,No,Yes,com.samsung.android.app.aodservice
593,594,2022/07/09,IRCTC Rail Connect,157,3,Yes,No,cris.org.in.prs.ima
594,595,2022/07/09,My Files,10,2,Yes,No,com.sec.android.app.myfiles
595,596,2022/07/09,PrepLadder,152,3,Yes,No,com.prepladder.learningapp
596,597,2022/07/09,Telegram,148,18,Yes,No,org.telegram.messenger
597,598,2022/07/09,Maps,25,1,Yes,No,com.google.android.apps.maps
598,599,2022/07/09,Samsung Cloud,20,1,No,Yes,com.samsung.android.scloud
599,600,2022/07/09,SoundAlive,9,1,No,Yes,com.sec.android.app.soundalive
600,601,2022/07/09,Where is my Train,1293,43,Yes,No,com.whereismytrain.android
601,602,2022/07/09,RcsSettings,4,1,No,Yes,com.samsung.rcs
602,603,2022/07/10,Xodo Docs,891,7,Yes,No,com.xodo.pdf.reader
603,604,2022/07/10,Video Player,192,5,No,Yes,com.samsung.android.video
604,605,2022/07/10,Camera,22,2,Yes,No,com.sec.android.app.camera
605,606,2022/07/10,1DM,2,1,Yes,No,idm.internet.download.manager
606,607,2022/07/10,Twitter,3591,18,Yes,No,com.twitter.android
607,608,2022/07/10,Telegram,33,4,Yes,No,org.telegram.messenger
608,609,2022/07/10,Calculator,99,5,Yes,No,com.sec.android.app.popupcalculator
609,610,2022/07/10,Chrome,2650,36,Yes,No,com.android.chrome
610,611,2022/07/10,Google,37,2,Yes,No,com.google.android.googlequicksearchbox
611,612,2022/07/10,Finder,25,9,Yes,No,com.samsung.android.app.galaxyfinder
612,613,2022/07/10,Call,164,11,Yes,No,com.samsung.android.incallui
613,614,2022/07/10,Truecaller,3,2,Yes,No,com.truecaller
614,615,2022/07/10,Paytm,233,6,Yes,No,net.one97.paytm
615,616,2022/07/10,Gmail,17,1,Yes,No,com.google.android.gm
616,617,2022/07/10,Keep notes,3,2,Yes,No,com.google.android.keep
617,618,2022/07/10,Android System,8,2,No,Yes,android
618,619,2022/07/10,Smart View,3,1,No,Yes,com.samsung.android.smartmirroring
619,620,2022/07/10,Cricbuzz,1496,18,Yes,No,com.cricbuzz.android
620,621,2022/07/10,Settings,38,4,Yes,No,com.android.settings
621,622,2022/07/10,Samsung capture,10,1,No,Yes,com.samsung.android.app.smartcapture
622,623,2022/07/10,Google Play Store,1,1,Yes,No,com.android.vending
623,624,2022/07/10,WhatsApp,515,17,Yes,No,com.whatsapp
624,625,2022/07/10,AccuBattery,427,10,Yes,No,com.digibites.accubattery
625,626,2022/07/10,Package installer,1,1,No,Yes,com.google.android.packageinstaller
626,627,2022/07/10,Gallery,9,1,Yes,No,com.sec.android.gallery3d
627,628,2022/07/10,YouTube Vanced,9336,21,Yes,No,com.vanced.android.youtube
628,629,2022/07/10,One UI Home,606,135,No,Yes,com.sec.android.app.launcher
629,630,2022/07/10,Pikashow,136,2,Yes,No,com.offshore.pikachu
630,631,2022/07/10,Phone,109,18,Yes,No,com.samsung.android.dialer
631,632,2022/07/11,Xodo Docs,385,11,Yes,No,com.xodo.pdf.reader
632,633,2022/07/11,Video Player,6370,4,No,Yes,com.samsung.android.video
633,634,2022/07/11,IRCTC Rail Connect,382,4,Yes,No,cris.org.in.prs.ima
634,635,2022/07/11,Camera,56,4,Yes,No,com.sec.android.app.camera
635,636,2022/07/11,PrepLadder,2,2,Yes,No,com.prepladder.learningapp
636,637,2022/07/11,Gboard,0,2,Yes,No,com.google.android.inputmethod.latin
637,638,2022/07/11,Telegram,106,6,Yes,No,org.telegram.messenger
638,639,2022/07/11,My Files,25,3,Yes,No,com.sec.android.app.myfiles
639,640,2022/07/11,Google Play services,2,2,No,Yes,com.google.android.gms
640,641,2022/07/11,Twitter,6261,25,Yes,No,com.twitter.android
641,642,2022/07/11,Digital Wellbeing,42,1,No,Yes,com.samsung.android.forest
