,college_name,program_name,quota,opening_rank,closing_rank
2865,"Sardar Vallabhbhai National Institute of Technology, Surat","Mathematics (5 Years, Integrated Master of Science)",HS,4076,8115
2887,National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology)",HS,3661,8199
2913,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,8309,8309
2935,National Institute of Technology Hamirpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",HS,8457,8457
2937,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,6577,8468
2950,"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",HS,2578,8518
2982,National Institute of Technology Meghalaya,"Civil Engineering (4 Years, Bachelor of Technology)",HS,4839,8663
2984,National Institute of Technology Agartala,"Civil Engineering (4 Years, Bachelor of Technology)",HS,2623,8667
2997,"National Institute of Technology, Srinagar","Information Technology (4 Years, Bachelor of Technology)",JK,8764,8764
2999,National Institute of Technology Goa,"Civil Engineering (4 Years, Bachelor of Technology)",GO,8772,8772
3002,"National Institute of Technology, Srinagar","Electrical Engineering (4 Years, Bachelor of Technology)",JK,8775,8775
3009,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",HS,5419,8828
3043,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,2831,9007
3059,National Institute of Technology Puducherry,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,9098,9098
3095,"National Institute of Technology, Tiruchirappalli","Civil Engineering (4 Years, Bachelor of Technology)",HS,5929,9294
3116,National Institute of Technology Durgapur,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,9410,9410
3124,National Institute of Technology Durgapur,"Civil Engineering (4 Years, Bachelor of Technology)",HS,9461,9461
3144,"Indian Institute of Engineering Science and Technology, Shibpur","Electrical Engineering (4 Years, Bachelor of Technology)",HS,9599,9599
3154,National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,4872,9675
3155,"National Institute of Technology, Tiruchirappalli","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",HS,6104,9676
3156,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,9684,9684
3183,National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,9807,9807
3194,"National Institute of Technology, Srinagar","Chemical Engineering (4 Years, Bachelor of Technology)",JK,9875,9875
3200,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,9924,9924
3212,"National Institute of Technology, Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,5884,10009
3265,National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,6763,10408
3283,"National Institute of Technology, Manipur","Civil Engineering (4 Years, Bachelor of Technology)",HS,8769,10549
3284,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,7182,10555
3298,"National Institute of Technology, Srinagar","Mechanical Engineering (4 Years, Bachelor of Technology)",JK,10710,10710
3304,National Institute of Technology Arunachal Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",HS,4393,10744
3317,"Indian Institute of Engineering Science and Technology, Shibpur","Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",HS,10867,10867
3379,"Indian Institute of Engineering Science and Technology, Shibpur","Civil Engineering (4 Years, Bachelor of Technology)",HS,11402,11402
3404,National Institute of Technology Goa,"Computer Science and Engineering (4 Years, Bachelor of Technology)",GO,11662,11662
3421,National Institute of Technology Nagaland,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,5251,11802
3436,National Institute of Technology Nagaland,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,6975,11974
3457,National Institute of Technology Agartala,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",HS,5486,12190
3459,"National Institute of Technology, Srinagar","Computer Science and Engineering (4 Years, Bachelor of Technology)",JK,12237,12237
3463,"National Institute of Technology, Tiruchirappalli","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,12314,12314
3465,"National Institute of Technology, Tiruchirappalli","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",HS,11395,12316
3479,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",HS,11867,12542
3497,National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,6784,12722
3510,"National Institute of Technology, Tiruchirappalli","Production Engineering (4 Years, Bachelor of Technology)",HS,9553,12856
3517,"National Institute of Technology, Manipur","Electrical Engineering (4 Years, Bachelor of Technology)",HS,11698,12939
3518,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,11699,12957
3561,National Institute of Technology Hamirpur,"Mathematics and Computing (4 Years, Bachelor of Technology)",HS,13514,13514
3577,"National Institute of Technology, Kurukshetra","Information Technology (4 Years, Bachelor of Technology)",HS,13728,13728
3582,National Institute of Technology Goa,"Mechanical Engineering (4 Years, Bachelor of Technology)",GO,13752,13752
3584,National Institute of Technology Calicut,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,13804,13804
3595,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,13896,13896
3598,National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",HS,13902,13969
3607,National Institute of Technology Meghalaya,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,4207,14082
3617,National Institute of Technology Agartala,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,7068,14186
3623,National Institute of Technology Agartala,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,7766,14243
3662,National Institute of Technology Nagaland,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",HS,14629,14629
3679,National Institute of Technology Puducherry,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,6981,14829
3692,National Institute of Technology Agartala,"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",HS,11407,15003
3702,National Institute of Technology Arunachal Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,7651,15140
3705,"National Institute of Technology, Manipur","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,13506,15176
3711,"National Institute of Technology, Kurukshetra","Information Technology (4 Years, Bachelor of Technology)",HS,9057,15292
3734,National Institute of Technology Sikkim,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,15628,15628
3737,"Indian Institute of Engineering Science and Technology, Shibpur","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,15704,15704
3741,National Institute of Technology Calicut,"Civil Engineering (4 Years, Bachelor of Technology)",HS,8021,15768
3747,National Institute of Technology Sikkim,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,15842,15842
3754,"National Institute of Technology, Kurukshetra","Civil Engineering (4 Years, Bachelor of Technology)",HS,15947,15947
3769,National Institute of Technology Calicut,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,4502,16240
3776,National Institute of Technology Agartala,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",HS,9304,16348
3777,"National Institute of Technology, Tiruchirappalli","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,16362,16362
3782,"National Institute of Technology, Srinagar","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",JK,16436,16436
3812,National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,16763,16763
3813,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,14989,16764
3830,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,9065,17028
3836,"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",HS,17086,17086
3839,National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,17128,17128
3863,"National Institute of Technology, Kurukshetra","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,7877,17533
3864,"National Institute of Technology, Manipur","Electrical Engineering (4 Years, Bachelor of Technology)",HS,7477,17536
3865,National Institute of Technology Calicut,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",HS,7900,17540
3872,"National Institute of Technology, Srinagar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",JK,17617,17617
3898,National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",HS,12375,17871
3903,National Institute of Technology Meghalaya,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,6277,17969
3925,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,7376,18254
3932,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,18308,18308
3983,National Institute of Technology Arunachal Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,13596,19232
3989,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,19355,19355
3991,National Institute of Technology Agartala,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,9491,19373
4003,"National Institute of Technology, Mizoram","Civil Engineering (4 Years, Bachelor of Technology)",HS,19686,19686
4014,"National Institute of Technology, Tiruchirappalli","Production Engineering (4 Years, Bachelor of Technology)",HS,19864,19864
4017,National Institute of Technology Agartala,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",HS,8729,19886
4028,National Institute of Technology Durgapur,"Bio Technology (4 Years, Bachelor of Technology)",HS,19973,19973
4029,National Institute of Technology Durgapur,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,11904,19992
4079,National Institute of Technology Agartala,"Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,17654,21024
4105,"Indian Institute of Engineering Science and Technology, Shibpur","Mining Engineering (4 Years, Bachelor of Technology)",HS,21468,21468
4168,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,22798,22798
4170,"National Institute of Technology, Mizoram","Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,22919,22919
4174,National Institute of Technology Agartala,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,14481,22972
4190,"National Institute of Technology, Kurukshetra","Electrical Engineering (4 Years, Bachelor of Technology)",HS,5763,23356
4209,National Institute of Technology Meghalaya,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,5729,23697
4216,National Institute of Technology Sikkim,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,23898,23898
4230,"National Institute of Technology, Kurukshetra","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,18751,24286
4240,National Institute of Technology Agartala,"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",HS,13310,24757
4243,"National Institute of Technology, Manipur","Mechanical Engineering (4 Years, Bachelor of Technology)",HS,24943,24943
4284,National Institute of Technology Nagaland,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,8288,26561
4286,National Institute of Technology Calicut,"Chemical Engineering (4 Years, Bachelor of Technology)",HS,26649,26649
4307,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)",HS,27312,27312
4339,National Institute of Technology Arunachal Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,12721,28584
4350,National Institute of Technology Nagaland,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,12025,29018
4375,National Institute of Technology Agartala,"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",HS,16244,30240
4400,National Institute of Technology Agartala,"Production Engineering (4 Years, Bachelor of Technology)",HS,31221,31221
4406,"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)",HS,14671,31558
